GEOID10,STATE,COUNTY,land_sqmi,dens2010
05063,Arkansas,Independence,631.81,58.00
05065,Arkansas,Izard,577.70,23.71
05067,Arkansas,Jackson,727.52,24.74
05069,Arkansas,Jefferson,615.20,125.87
05071,Arkansas,Johnson,588.55,43.39
05073,Arkansas,Lafayette,763.95,10.01
05075,Arkansas,Lawrence,580.58,30.00
05077,Arkansas,Lee,633.94,16.44
05079,Arkansas,Lincoln,870.75,16.23
05081,Arkansas,Little River,532.25,24.75
05083,Arkansas,Logan,708.12,31.57
05085,Arkansas,Lonoke,770.73,88.69
05087,Arkansas,Madison,834.26,18.84
05089,Arkansas,Marion,597.01,27.89
05091,Arkansas,Miller,625.58,69.47
05093,Arkansas,Mississippi,900.57,51.61
05095,Arkansas,Monroe,607.12,13.42
05097,Arkansas,Montgomery,779.88,12.16
05099,Arkansas,Nevada,617.84,14.56
05101,Arkansas,Newton,820.90,10.15
05103,Arkansas,Ouachita,732.78,35.64
05105,Arkansas,Perry,551.40,18.94
05107,Arkansas,Phillips,695.66,31.28
05109,Arkansas,Pike,600.62,18.80
05111,Arkansas,Poinsett,758.39,32.41
05113,Arkansas,Polk,857.68,24.09
05115,Arkansas,Pope,812.55,76.00
05117,Arkansas,Prairie,647.96,13.45
05119,Arkansas,Pulaski,759.76,503.77
05121,Arkansas,Randolph,652.19,27.55
05123,Arkansas,St Francis,634.77,44.52
05125,Arkansas,Saline,723.60,148.03
05127,Arkansas,Scott,892.32,12.59
05129,Arkansas,Searcy,666.09,12.30
05131,Arkansas,Sebastian,531.91,236.40
05133,Arkansas,Sevier,565.13,30.18
05135,Arkansas,Sharp,604.44,28.56
05137,Arkansas,Stone,606.40,20.44
05139,Arkansas,Union,1039.21,40.07
05141,Arkansas,Van Buren,708.14,24.42
05143,Arkansas,Washington,941.97,215.58
05145,Arkansas,White,1035.08,74.46
05147,Arkansas,Woodruff,586.79,12.37
05149,Arkansas,Yell,929.98,23.86
06001,California,Alameda,739.02,2043.62
06003,California,Alpine,738.33,1.59
06005,California,Amador,594.58,64.06
06007,California,Butte,1636.46,134.44
06009,California,Calaveras,1020.01,44.68
06011,California,Colusa,1150.73,18.61
06013,California,Contra Costa,715.94,1465.25
06015,California,Del Norte,1006.37,28.43
06017,California,El Dorado,1707.88,106.01
06019,California,Fresno,5957.99,156.17
06021,California,Glenn,1313.95,21.40
06023,California,Humboldt,3567.99,37.73
06025,California,Imperial,4176.60,41.79
06027,California,Inyo,10180.88,1.82
06029,California,Kern,8131.92,103.25
06031,California,Kings,1389.42,110.10
06033,California,Lake,1256.46,51.47
06035,California,Lassen,4541.18,7.68
06037,California,Los Angeles,4057.88,2419.64
06039,California,Madera,2137.07,70.59
06041,California,Marin,520.31,485.12
06043,California,Mariposa,1448.82,12.60
06045,California,Mendocino,3506.34,25.05
06047,California,Merced,1934.97,132.19
06049,California,Modoc,3917.77,2.47
06051,California,Mono,3048.98,4.66
06053,California,Monterey,3280.60,126.52
06055,California,Napa,748.36,182.38
06057,California,Nevada,957.77,103.12
06059,California,Orange,790.57,3807.68
06061,California,Placer,1407.01,247.64
06063,California,Plumas,2553.04,7.84
06065,California,Riverside,7206.48,303.84
06067,California,Sacramento,964.64,1470.79
06069,California,San Benito,1388.71,39.80
06071,California,San Bernardino,20056.94,101.47
06073,California,San Diego,4206.63,735.82
06075,California,San Francisco,46.87,17179.16
06077,California,San Joaquin,1391.32,492.56
06079,California,San Luis Obispo,3298.57,81.74
06081,California,San Mateo,448.41,1602.23
06083,California,Santa Barbara,2735.09,154.98
06085,California,Santa Clara,1290.10,1381.01
06087,California,Santa Cruz,445.17,589.40
06089,California,Shasta,3775.40,46.94
06091,California,Sierra,953.21,3.40
06093,California,Siskiyou,6277.89,7.15
06095,California,Solano,821.76,503.00
06097,California,Sonoma,1575.85,307.06
06099,California,Stanislaus,1494.83,344.16
06101,California,Sutter,602.41,157.26
06103,California,Tehama,2949.71,21.52
06105,California,Trinity,3179.25,4.34
06107,California,Tulare,4824.21,91.66
06109,California,Tuolumne,2220.88,24.93
06111,California,Ventura,1843.13,446.69
06113,California,Yolo,1014.69,197.94
