GEOID10,STATE,COUNTY,land_sqmi,dens2010
17093,Illinois,Kendall,320.34,358.17
17095,Illinois,Knox,716.39,73.87
17097,Illinois,Lake,443.67,1585.55
17099,Illinois,La Salle,1135.12,100.36
17101,Illinois,Lawrence,372.18,45.23
17103,Illinois,Lee,724.90,49.71
17105,Illinois,Livingston,1044.29,37.30
17107,Illinois,Logan,618.06,49.03
17109,Illinois,McDonough,589.41,55.33
17111,Illinois,McHenry,603.17,511.89
17113,Illinois,McLean,1183.38,143.29
17115,Illinois,Macon,580.69,190.75
17117,Illinois,Macoupin,862.91,55.35
17119,Illinois,Madison,715.58,376.31
17121,Illinois,Marion,572.36,68.90
17123,Illinois,Marshall,386.79,32.68
17125,Illinois,Mason,539.24,27.20
17127,Illinois,Massac,237.22,65.04
17129,Illinois,Menard,314.44,40.41
17131,Illinois,Mercer,561.20,29.28
17133,Illinois,Monroe,385.01,85.60
17135,Illinois,Montgomery,703.69,42.78
17137,Illinois,Morgan,568.79,62.50
17139,Illinois,Moultrie,335.94,44.19
17141,Illinois,Ogle,758.57,70.52
17143,Illinois,Peoria,619.21,301.18
17145,Illinois,Perry,441.76,50.59
17147,Illinois,Piatt,439.20,38.09
17149,Illinois,Pike,831.38,19.76
17151,Illinois,Pope,368.77,12.12
17153,Illinois,Pulaski,199.18,30.93
17155,Illinois,Putnam,160.16,37.50
17157,Illinois,Randolph,575.50,58.17
17159,Illinois,Richland,359.99,45.09
17161,Illinois,Rock Island,427.64,345.03
17163,Illinois,St Clair,657.76,410.57
17165,Illinois,Saline,379.82,65.59
17167,Illinois,Sangamon,868.30,227.42
17169,Illinois,Schuyler,437.27,17.25
17171,Illinois,Scott,250.91,21.34
17173,Illinois,Shelby,758.52,29.48
17175,Illinois,Stark,288.08,20.81
17177,Illinois,Stephenson,564.52,84.52
17179,Illinois,Tazewell,648.97,208.63
17181,Illinois,Union,413.46,43.07
17183,Illinois,Vermilion,898.37,90.86
17185,Illinois,Wabash,223.25,53.51
17187,Illinois,Warren,542.41,32.65
17189,Illinois,Washington,562.57,26.16
17191,Illinois,Wayne,713.81,23.48
17193,Illinois,White,494.77,29.64
17195,Illinois,Whiteside,684.25,85.49
17197,Illinois,Will,836.91,809.60
17199,Illinois,Williamson,420.15,157.94
17201,Illinois,Winnebago,513.36,575.16
17203,Illinois,Woodford,527.80,73.26
18001,Indiana,Adams,339.03,101.43
18003,Indiana,Allen,657.31,540.58
18005,Indiana,Bartholomew,406.91,188.73
18007,Indiana,Benton,406.42,21.79
18009,Indiana,Blackford,165.08,77.33
18011,Indiana,Boone,422.91,133.93
18013,Indiana,Brown,311.98,48.86
18015,Indiana,Carroll,372.22,54.15
18017,Indiana,Cass,412.15,94.54
18019,Indiana,Clark,372.86,295.64
18021,Indiana,Clay,357.54,75.21
18023,Indiana,Clinton,405.07,82.02
18025,Indiana,Crawford,305.64,35.05
18027,Indiana,Daviess,429.49,73.69
18029,Indiana,Dearborn,305.03,164.07
18031,Indiana,Decatur,372.57,69.09
18033,Indiana,DeKalb,362.82,116.37
18035,Indiana,Delaware,392.12,300.09
18037,Indiana,Dubois,427.27,98.04
18039,Indiana,Elkhart,463.17,426.54
18041,Indiana,Fayette,215.01,112.91
18043,Indiana,Floyd,147.93,504.13
18045,Indiana,Fountain,395.66,43.57
18047,Indiana,Franklin,384.43,60.06
18049,Indiana,Fulton,368.39,56.56
18051,Indiana,Gibson,487.49,68.73
18053,Indiana,Grant,414.07,169.20
18055,Indiana,Greene,542.49,61.13
18057,Indiana,Hamilton,394.27,696.40
18059,Indiana,Hancock,306.02,228.75
18061,Indiana,Harrison,484.52,81.24
18063,Indiana,Hendricks,406.91,357.44
18065,Indiana,Henry,391.88,126.22
18067,Indiana,Howard,293.06,282.38
18069,Indiana,Huntington,382.65,97.02
18071,Indiana,Jackson,509.31,83.20
18073,Indiana,Jasper,559.62,59.82
18075,Indiana,Jay,383.91,55.36
18077,Indiana,Jefferson,360.63,89.92
18079,Indiana,Jennings,376.58,75.75
18081,Indiana,Johnson,320.43,435.84
18083,Indiana,Knox,516.03,74.49
18085,Indiana,Kosciusko,531.38,145.58
18087,Indiana,Lagrange,379.62,97.80
18089,Indiana,Lake,498.96,994.08
18091,Indiana,LaPorte,598.30,186.31
18093,Indiana,Lawrence,449.17,102.71
18095,Indiana,Madison,451.92,291.28
18097,Indiana,Marion,396.30,2279.58
18099,Indiana,Marshall,443.63,106.06
18101,Indiana,Martin,335.74,30.78
18103,Indiana,Miami,373.84,98.71
18105,Indiana,Monroe,394.51,349.74
18107,Indiana,Montgomery,504.61,75.55
18109,Indiana,Morgan,403.97,170.54
18111,Indiana,Newton,401.76,35.45
18113,Indiana,Noble,410.84,115.70
18115,Indiana,Ohio,86.14,71.14
18117,Indiana,Orange,398.39,49.80
18119,Indiana,Owen,385.29,56.00
18121,Indiana,Parke,444.66,38.99
18123,Indiana,Perry,381.73,50.66
18125,Indiana,Pike,334.24,38.43
18127,Indiana,Porter,418.15,393.02
18129,Indiana,Posey,409.57,63.26
18131,Indiana,Pulaski,433.65,30.91
18133,Indiana,Putnam,480.53,79.00
18135,Indiana,Randolph,452.38,57.85
18137,Indiana,Ripley,446.43,64.55
18139,Indiana,Rush,408.12,42.61
18141,Indiana,St Joseph,457.85,583.01
18143,Indiana,Scott,190.40,127.00
18145,Indiana,Shelby,411.15,108.08
18147,Indiana,Spencer,396.74,52.81
18149,Indiana,Starke,309.13,75.58
18151,Indiana,Steuben,308.94,110.65
18153,Indiana,Sullivan,447.14,48.03
18155,Indiana,Switzerland,220.63,48.10
18157,Indiana,Tippecanoe,499.81,345.69
18159,Indiana,Tipton,260.54,61.17
18161,Indiana,Union,161.22,46.62
18163,Indiana,Vanderburgh,233.48,769.69
18165,Indiana,Vermillion,256.88,63.11
18167,Indiana,Vigo,403.31,267.41
18169,Indiana,Wabash,412.43,79.74
18171,Indiana,Warren,364.68,23.33
18173,Indiana,Warrick,384.82,155.11
18175,Indiana,Washington,513.73,55.01
18177,Indiana,Wayne,401.74,171.55
18179,Indiana,Wells,368.09,75.08
18181,Indiana,White,505.12,48.79
18183,Indiana,Whitley,335.57,99.21
19001,Iowa,Adair,569.27,13.49
19003,Iowa,Adams,423.44,9.51
19005,Iowa,Allamakee,639.08,22.42
19007,Iowa,Appanoose,497.29,25.91
19009,Iowa,Audubon,442.96,13.81
19011,Iowa,Benton,716.26,36.41
19013,Iowa,Black Hawk,565.77,231.70
19015,Iowa,Boone,571.57,46.02
19017,Iowa,Bremer,435.48,55.75
19019,Iowa,Buchanan,571.02,36.70
19021,Iowa,Buena Vista,574.91,35.24
19023,Iowa,Butler,580.13,25.63
19025,Iowa,Calhoun,569.97,16.97
19027,Iowa,Carroll,569.44,36.56
19029,Iowa,Cass,564.27,24.73
19031,Iowa,Cedar,579.44,31.93
19033,Iowa,Cerro Gordo,568.31,77.69
19035,Iowa,Cherokee,576.91,20.93
19037,Iowa,Chickasaw,504.38,24.66
19039,Iowa,Clarke,431.17,21.54
19041,Iowa,Clay,567.24,29.38
19043,Iowa,Clayton,778.54,23.29
19045,Iowa,Clinton,694.91,70.68
19047,Iowa,Crawford,714.19,23.94
19049,Iowa,Dallas,588.45,112.39
19051,Iowa,Davis,502.19,17.43
19053,Iowa,Decatur,531.88,15.90
19055,Iowa,Delaware,577.76,30.75
19057,Iowa,Des Moines,416.12,96.91
19059,Iowa,Dickinson,380.61,43.79
19061,Iowa,Dubuque,608.30,153.96
19063,Iowa,Emmet,395.88,26.02
19065,Iowa,Fayette,730.81,28.57
19067,Iowa,Floyd,500.63,32.56
19069,Iowa,Franklin,581.97,18.35
19071,Iowa,Fremont,511.15,14.56
19073,Iowa,Greene,569.57,16.39
19075,Iowa,Grundy,501.86,24.81
19077,Iowa,Guthrie,590.62,18.55
19079,Iowa,Hamilton,576.75,27.17
19081,Iowa,Hancock,571.00,19.86
19083,Iowa,Hardin,569.31,30.80
19085,Iowa,Harrison,696.85,21.42
19087,Iowa,Henry,434.33,46.38
19089,Iowa,Howard,473.25,20.21
19091,Iowa,Humboldt,434.35,22.60
19093,Iowa,Ida,431.51,16.43
19095,Iowa,Iowa,586.46,27.89
19097,Iowa,Jackson,636.04,31.21
19099,Iowa,Jasper,730.42,50.44
19101,Iowa,Jefferson,435.51,38.67
19103,Iowa,Johnson,614.04,213.15
19105,Iowa,Jones,575.62,35.85
19107,Iowa,Keokuk,579.18,18.15
19109,Iowa,Kossuth,972.72,15.98
19111,Iowa,Lee,517.52,69.30
19113,Iowa,Linn,716.88,294.65
19115,Iowa,Louisa,401.77,28.34
19117,Iowa,Lucas,430.59,20.66
19119,Iowa,Lyon,587.65,19.71
19121,Iowa,Madison,561.01,27.95
19123,Iowa,Mahaska,570.86,39.21
19125,Iowa,Marion,554.53,60.07
19127,Iowa,Marshall,572.50,71.00
19129,Iowa,Mills,437.44,34.43
19131,Iowa,Mitchell,469.13,22.97
19133,Iowa,Monona,694.07,13.32
19135,Iowa,Monroe,433.72,18.38
19137,Iowa,Montgomery,424.10,25.32
19139,Iowa,Muscatine,437.47,97.71
19141,Iowa,O Brien,573.04,25.13
19143,Iowa,Osceola,398.68,16.21
19145,Iowa,Page,534.94,29.78
19147,Iowa,Palo Alto,563.84,16.71
19149,Iowa,Plymouth,862.89,28.96
19151,Iowa,Pocahontas,577.24,12.66
19153,Iowa,Polk,573.79,750.51
19155,Iowa,Pottawattamie,950.28,98.03
19157,Iowa,Poweshiek,584.93,32.34
19159,Iowa,Ringgold,535.50,9.58
19161,Iowa,Sac,575.01,18.00
19163,Iowa,Scott,458.09,360.68
19165,Iowa,Shelby,590.78,20.59
19167,Iowa,Sioux,768.33,43.87
19169,Iowa,Story,572.82,156.32
19171,Iowa,Tama,721.01,24.64
19173,Iowa,Taylor,531.90,11.88
19175,Iowa,Union,423.65,29.59
19177,Iowa,Van Buren,484.79,15.62
19179,Iowa,Wapello,431.83,82.50
19181,Iowa,Warren,569.83,81.12
19183,Iowa,Washington,568.84,38.16
19185,Iowa,Wayne,525.44,12.19
19187,Iowa,Webster,715.62,53.12
19189,Iowa,Winnebago,400.49,27.13
19191,Iowa,Winneshiek,689.87,30.52
19193,Iowa,Woodbury,872.83,117.06
19195,Iowa,Worth,400.12,18.99
19197,Iowa,Wright,580.42,22.79
20001,Kansas,Allen,500.30,26.73
20003,Kansas,Anderson,579.65,13.98
20005,Kansas,Atchison,431.17,39.25
20007,Kansas,Barber,1134.07,4.29
20009,Kansas,Barton,895.40,30.91
20011,Kansas,Bourbon,635.47,23.88
20013,Kansas,Brown,570.87,17.49
20015,Kansas,Butler,1429.86,46.07
20017,Kansas,Chase,773.06,3.61
20019,Kansas,Chautauqua,638.88,5.74
20021,Kansas,Cherokee,587.57,36.77
20023,Kansas,Cheyenne,1019.89,2.67
20025,Kansas,Clark,974.63,2.27
20027,Kansas,Clay,645.30,13.23
20029,Kansas,Cloud,715.34,13.33
20031,Kansas,Coffey,626.95,13.72
20033,Kansas,Comanche,788.30,2.40
20035,Kansas,Cowley,1125.75,32.25
20037,Kansas,Crawford,589.76,66.36
20039,Kansas,Decatur,893.52,3.31
20041,Kansas,Dickinson,847.07,23.32
20043,Kansas,Doniphan,393.41,20.20
20045,Kansas,Douglas,455.87,243.11
20047,Kansas,Edwards,621.89,4.88
20049,Kansas,Elk,644.26,4.47
20051,Kansas,Ellis,899.91,31.62
20053,Kansas,Ellsworth,715.85,9.08
20055,Kansas,Finney,1301.97,28.25
20057,Kansas,Ford,1098.27,30.82
20059,Kansas,Franklin,571.76,45.46
20061,Kansas,Geary,384.62,89.34
20063,Kansas,Gove,1071.66,2.51
20065,Kansas,Graham,898.52,2.89
20067,Kansas,Grant,574.80,13.62
20069,Kansas,Gray,868.87,6.91
20071,Kansas,Greeley,778.45,1.60
20073,Kansas,Greenwood,1143.30,5.85
20075,Kansas,Hamilton,996.51,2.70
20077,Kansas,Harper,801.27,7.53
20079,Kansas,Harvey,539.75,64.26
20081,Kansas,Haskell,577.52,7.37
20083,Kansas,Hodgeman,859.99,2.23
20085,Kansas,Jackson,656.22,20.51
20087,Kansas,Jefferson,532.57,35.91
20089,Kansas,Jewell,909.78,3.38
20091,Kansas,Johnson,473.37,1149.57
20093,Kansas,Kearny,870.54,4.57
20095,Kansas,Kingman,863.36,9.10
20097,Kansas,Kiowa,722.64,3.53
20099,Kansas,Labette,645.29,33.48
20101,Kansas,Lane,717.46,2.44
20103,Kansas,Leavenworth,462.83,164.70
20105,Kansas,Lincoln,719.40,4.51
20107,Kansas,Linn,594.06,16.25
20109,Kansas,Logan,1072.99,2.57
20111,Kansas,Lyon,847.47,39.75
20113,Kansas,McPherson,898.27,32.48
20115,Kansas,Marion,944.29,13.41
20117,Kansas,Marshall,900.18,11.24
20119,Kansas,Meade,978.09,4.68
20121,Kansas,Miami,575.66,56.96
20123,Kansas,Mitchell,701.79,9.08
20125,Kansas,Montgomery,643.53,55.12
20127,Kansas,Morris,695.28,8.52
20129,Kansas,Morton,729.73,4.43
20131,Kansas,Nemaha,717.43,14.19
20133,Kansas,Neosho,571.47,28.89
20135,Kansas,Ness,1074.75,2.89
20137,Kansas,Norton,878.13,6.46
20139,Kansas,Osage,705.52,23.10
20141,Kansas,Osborne,892.50,4.32
20143,Kansas,Ottawa,720.73,8.45
20145,Kansas,Pawnee,754.26,9.24
20147,Kansas,Phillips,885.88,6.37
20149,Kansas,Pottawatomie,841.02,25.69
20151,Kansas,Pratt,735.04,13.14
20153,Kansas,Rawlins,1069.42,2.36
20155,Kansas,Reno,1255.35,51.39
20157,Kansas,Republic,717.37,6.94
20159,Kansas,Rice,726.24,13.88
20161,Kansas,Riley,609.77,116.63
20163,Kansas,Rooks,890.53,5.82
20165,Kansas,Rush,717.76,4.61
20167,Kansas,Russell,886.26,7.86
20169,Kansas,Saline,720.22,77.21
20171,Kansas,Scott,717.54,6.88
20173,Kansas,Sedgwick,997.51,499.61
20175,Kansas,Seward,639.50,35.89
20177,Kansas,Shawnee,544.02,327.07
20179,Kansas,Sheridan,895.96,2.85
20181,Kansas,Sherman,1056.07,5.69
20183,Kansas,Smith,895.46,4.30
20185,Kansas,Stafford,792.05,5.60
20187,Kansas,Stanton,680.35,3.29
20189,Kansas,Stevens,727.29,7.87
20191,Kansas,Sumner,1181.94,20.42
20193,Kansas,Thomas,1074.69,7.35
20195,Kansas,Trego,889.48,3.37
20197,Kansas,Wabaunsee,794.30,8.88
20199,Kansas,Wallace,913.65,1.63
20201,Kansas,Washington,894.76,6.48
20203,Kansas,Wichita,718.57,3.11
20205,Kansas,Wilson,570.42,16.49
20207,Kansas,Woodson,497.82,6.65
20209,Kansas,Wyandotte,151.60,1038.95
21001,Kentucky,Adair,405.28,46.03
21003,Kentucky,Allen,344.34,57.95
21005,Kentucky,Anderson,201.83,106.13
21007,Kentucky,Ballard,246.66,33.44
21009,Kentucky,Barren,487.54,86.50
21011,Kentucky,Bath,278.79,41.58
21013,Kentucky,Bell,359.00,79.92
21015,Kentucky,Boone,246.36,482.27
21017,Kentucky,Bourbon,289.72,68.98
21019,Kentucky,Boyd,159.86,309.90
21021,Kentucky,Boyle,180.17,157.81
21023,Kentucky,Bracken,205.61,41.28
21025,Kentucky,Breathitt,492.41,28.18
21027,Kentucky,Breckinridge,567.17,35.37
21029,Kentucky,Bullitt,297.02,250.21
21031,Kentucky,Butler,426.09,29.78
21033,Kentucky,Caldwell,344.79,37.66
21035,Kentucky,Calloway,385.02,96.59
21037,Kentucky,Campbell,151.31,597.03
21039,Kentucky,Carlisle,189.43,26.94
21041,Kentucky,Carroll,128.57,84.09
21043,Kentucky,Carter,409.50,67.69
21045,Kentucky,Casey,444.23,35.92
21047,Kentucky,Christian,717.50,103.07
21049,Kentucky,Clark,252.46,141.06
21051,Kentucky,Clay,469.25,46.31
21053,Kentucky,Clinton,197.25,52.08
21055,Kentucky,Crittenden,359.95,25.88
21057,Kentucky,Cumberland,305.18,22.47
21059,Kentucky,Daviess,458.35,210.88
21061,Kentucky,Edmonson,302.88,40.15
21063,Kentucky,Elliott,234.32,33.51
21065,Kentucky,Estill,253.08,57.97
21067,Kentucky,Fayette,283.65,1042.85
21069,Kentucky,Fleming,348.54,41.17
21071,Kentucky,Floyd,393.34,100.30
21073,Kentucky,Franklin,207.75,237.24
21075,Kentucky,Fulton,205.50,33.15
21077,Kentucky,Gallatin,101.23,84.84
21079,Kentucky,Garrard,230.08,73.51
21081,Kentucky,Grant,257.96,95.60
21083,Kentucky,Graves,551.74,67.28
21085,Kentucky,Grayson,496.70,51.83
21087,Kentucky,Green,286.03,39.36
21089,Kentucky,Greenup,344.40,107.17
21091,Kentucky,Hancock,187.65,45.64
21093,Kentucky,Hardin,623.28,169.34
21095,Kentucky,Harlan,465.83,62.85
21097,Kentucky,Harrison,306.36,61.52
21099,Kentucky,Hart,412.09,44.16
21101,Kentucky,Henderson,436.67,105.92
21103,Kentucky,Henry,286.28,53.85
21105,Kentucky,Hickman,242.27,20.23
21107,Kentucky,Hopkins,542.00,86.57
21109,Kentucky,Jackson,345.20,39.09
21111,Kentucky,Jefferson,380.42,1948.12
21113,Kentucky,Jessamine,172.12,282.29
21115,Kentucky,Johnson,261.95,89.16
21117,Kentucky,Kenton,160.25,996.69
21119,Kentucky,Knott,351.52,46.50
21121,Kentucky,Knox,386.30,82.53
21123,Kentucky,Larue,261.52,54.27
21125,Kentucky,Laurel,433.95,135.61
21127,Kentucky,Lawrence,415.60,38.16
21129,Kentucky,Lee,208.86,37.76
21131,Kentucky,Leslie,400.84,28.22
21133,Kentucky,Letcher,337.91,72.56
21135,Kentucky,Lewis,482.84,28.73
21137,Kentucky,Lincoln,334.09,74.06
21139,Kentucky,Livingston,313.13,30.40
21141,Kentucky,Logan,552.13,48.60
21143,Kentucky,Lyon,213.84,38.88
21145,Kentucky,McCracken,248.74,263.58
21147,Kentucky,McCreary,426.80,42.89
21149,Kentucky,McLean,252.47,37.75
21151,Kentucky,Madison,437.29,189.61
21153,Kentucky,Magoffin,308.44,43.23
21155,Kentucky,Marion,343.01,57.78
21157,Kentucky,Marshall,301.25,104.39
21159,Kentucky,Martin,229.60,56.31
21161,Kentucky,Mason,240.13,72.84
21163,Kentucky,Meade,305.42,93.65
21165,Kentucky,Menifee,203.58,30.97
21167,Kentucky,Mercer,248.80,85.74
21169,Kentucky,Metcalfe,289.65,34.87
21171,Kentucky,Monroe,329.37,33.28
21173,Kentucky,Montgomery,197.37,134.26
21175,Kentucky,Morgan,381.13,36.53
21177,Kentucky,Muhlenberg,467.08,67.44
21179,Kentucky,Nelson,417.51,104.04
21181,Kentucky,Nicholas,195.17,36.56
21183,Kentucky,Ohio,587.27,40.60
21185,Kentucky,Oldham,187.22,322.17
21187,Kentucky,Owen,351.10,30.88
21189,Kentucky,Owsley,197.41,24.09
21191,Kentucky,Pendleton,277.16,53.68
21193,Kentucky,Perry,339.67,84.53
21195,Kentucky,Pike,786.83,82.64
21197,Kentucky,Powell,178.98,70.47
21199,Kentucky,Pulaski,658.41,95.78
21201,Kentucky,Robertson,99.91,22.84
21203,Kentucky,Rockcastle,316.54,53.88
21205,Kentucky,Rowan,279.80,83.39
21207,Kentucky,Russell,253.66,69.25
21209,Kentucky,Scott,281.77,167.42
21211,Kentucky,Shelby,379.64,110.83
21213,Kentucky,Simpson,234.20,73.98
21215,Kentucky,Spencer,186.68,91.39
21217,Kentucky,Taylor,266.33,92.04
21219,Kentucky,Todd,374.50,33.27
21221,Kentucky,Trigg,441.43,32.48
21223,Kentucky,Trimble,151.65,58.09
21225,Kentucky,Union,342.85,43.77
21227,Kentucky,Warren,541.60,210.10
21229,Kentucky,Washington,297.27,39.42
21231,Kentucky,Wayne,458.17,45.43
21233,Kentucky,Webster,331.94,41.03
21235,Kentucky,Whitley,437.83,81.39
21237,Kentucky,Wolfe,222.17,33.11
21239,Kentucky,Woodford,188.78,132.10
22001,Louisiana,Acadia,655.12,94.29
22003,Louisiana,Allen,761.85,33.82
22005,Louisiana,Ascension,289.98,369.73
22007,Louisiana,Assumption,338.66,69.16
22009,Louisiana,Avoyelles,832.43,50.54
22011,Louisiana,Beauregard,1157.34,30.81
22013,Louisiana,Bienville,811.27,17.69
22015,Louisiana,Bossier,840.06,139.25
22017,Louisiana,Caddo,878.54,290.22
22019,Louisiana,Calcasieu,1063.66,181.23
22021,Louisiana,Caldwell,529.42,19.14
22023,Louisiana,Cameron,1284.89,5.32
22025,Louisiana,Catahoula,708.03,14.70
22027,Louisiana,Claiborne,754.88,22.78
22029,Louisiana,Concordia,696.92,29.88
22031,Louisiana,De Soto,875.58,30.44
22033,Louisiana,East Baton Rouge,455.37,966.62
22035,Louisiana,East Carroll,420.70,18.44
22037,Louisiana,East Feliciana,453.41,44.70
22039,Louisiana,Evangeline,662.38,51.31
22041,Louisiana,Franklin,624.59,33.25
22043,Louisiana,Grant,643.03,34.69
22045,Louisiana,Iberia,574.11,127.57
22047,Louisiana,Iberville,618.63,53.97
22049,Louisiana,Jackson,569.18,28.59
22051,Louisiana,Jefferson,295.63,1463.14
22053,Louisiana,Jefferson Davis,651.33,48.51
22055,Louisiana,Lafayette,268.72,824.57
22057,Louisiana,Lafourche,1068.21,90.17
22059,Louisiana,La Salle,624.68,23.84
22061,Louisiana,Lincoln,471.74,99.07
22063,Louisiana,Livingston,648.17,197.52
22065,Louisiana,Madison,624.44,19.37
22067,Louisiana,Morehouse,794.93,35.20
22069,Louisiana,Natchitoches,1252.25,31.60
22071,Louisiana,Orleans,169.42,2029.41
22073,Louisiana,Ouachita,610.41,251.83
22075,Louisiana,Plaquemines,779.91,29.54
22077,Louisiana,Pointe Coupee,557.35,40.91
22079,Louisiana,Rapides,1317.96,99.86
22081,Louisiana,Red River,389.09,23.36
22083,Louisiana,Richland,559.04,37.07
22085,Louisiana,Sabine,866.66,27.96
22087,Louisiana,St Bernard,377.52,95.09
22089,Louisiana,St Charles,279.08,189.12
22091,Louisiana,St Helena,408.40,27.43
22093,Louisiana,St James,241.54,91.51
22095,Louisiana,St John The Baptist,213.07,215.53
22097,Louisiana,St Landry,923.88,90.25
22099,Louisiana,St Martin,737.65,70.71
22101,Louisiana,St Mary,555.38,98.40
22103,Louisiana,St Tammany,845.55,276.44
22105,Louisiana,Tangipahoa,791.27,153.04
22107,Louisiana,Tensas,602.78,8.71
22109,Louisiana,Terrebonne,1231.81,90.81
22111,Louisiana,Union,876.99,25.91
22113,Louisiana,Vermilion,1173.20,49.44
22115,Louisiana,Vernon,1327.91,39.41
22117,Louisiana,Washington,669.52,70.45
22119,Louisiana,Webster,593.03,69.49
22121,Louisiana,West Baton Rouge,192.39,123.64
22123,Louisiana,West Carroll,359.65,32.27
22125,Louisiana,West Feliciana,403.21,38.75
22127,Louisiana,Winn,950.09,16.12
23001,Maine,Androscoggin,467.93,230.17
23003,Maine,Aroostook,6671.33,10.77
23005,Maine,Cumberland,835.24,337.24
23007,Maine,Franklin,1696.61,18.14
23009,Maine,Hancock,1586.89,34.29
23011,Maine,Kennebec,867.52,140.80
23013,Maine,Knox,365.13,108.83
23015,Maine,Lincoln,455.82,75.59
23017,Maine,Oxford,2076.84,27.85
23019,Maine,Penobscot,3397.36,45.31
23021,Maine,Piscataquis,3960.86,4.43
23023,Maine,Sagadahoc,253.69,139.12
23025,Maine,Somerset,3924.40,13.31
23027,Maine,Waldo,729.92,53.14
23029,Maine,Washington,2562.66,12.82
23031,Maine,York,990.71,198.98
24001,Maryland,Allegany,424.16,177.03
24003,Maryland,Anne Arundel,414.90,1295.86
24005,Maryland,Baltimore,598.30,1345.52
24009,Maryland,Calvert,213.15,416.31
24011,Maryland,Caroline,319.42,103.52
24013,Maryland,Carroll,447.59,373.40
24015,Maryland,Cecil,346.27,291.99
24017,Maryland,Charles,457.75,320.16
24019,Maryland,Dorchester,540.77,60.32
24021,Maryland,Frederick,660.22,353.50
24023,Maryland,Garrett,647.10,46.51
24025,Maryland,Harford,437.09,560.13
24027,Maryland,Howard,250.74,1144.95
24029,Maryland,Kent,277.03,72.91
24031,Maryland,Montgomery,491.25,1978.15
24033,Maryland,Prince Georges,482.69,1788.76
24035,Maryland,Queen Anne's,371.91,128.52
24037,Maryland,St Mary's,357.18,294.39
24039,Maryland,Somerset,319.72,82.79
24041,Maryland,Talbot,268.54,140.69
24043,Maryland,Washington,457.78,322.05
24045,Maryland,Wicomico,374.44,263.68
24047,Maryland,Worcester,468.28,109.88
24510,Maryland,Baltimore City,80.94,7671.52
25001,Massachusetts,Barnstable,393.72,548.32
25003,Massachusetts,Berkshire,926.82,141.58
25005,Massachusetts,Bristol,553.10,991.30
25007,Massachusetts,Dukes,103.25,160.15
25009,Massachusetts,Essex,492.56,1508.76
25011,Massachusetts,Franklin,699.32,102.06
25013,Massachusetts,Hampden,617.14,751.03
25015,Massachusetts,Hampshire,527.26,299.82
25017,Massachusetts,Middlesex,817.82,1837.92
25019,Massachusetts,Nantucket,44.97,226.20
25021,Massachusetts,Norfolk,396.11,1693.61
25023,Massachusetts,Plymouth,659.08,750.93
25025,Massachusetts,Suffolk,58.15,12415.65
25027,Massachusetts,Worcester,1510.77,528.57
26001,Michigan,Alcona,674.59,16.22
26003,Michigan,Alger,915.07,10.49
26005,Michigan,Allegan,825.23,135.00
26007,Michigan,Alpena,571.86,51.76
26009,Michigan,Antrim,475.70,49.57
26011,Michigan,Arenac,363.19,43.78
26013,Michigan,Baraga,898.26,9.86
26015,Michigan,Barry,553.09,106.99
26017,Michigan,Bay,442.30,243.66
26019,Michigan,Benzie,319.70,54.82
26021,Michigan,Berrien,567.75,276.20
26023,Michigan,Branch,506.37,89.36
26025,Michigan,Calhoun,706.23,192.78
26027,Michigan,Cass,490.06,106.71
26029,Michigan,Charlevoix,416.34,62.33
26031,Michigan,Cheboygan,715.26,36.56
26033,Michigan,Chippewa,1558.42,24.72
26035,Michigan,Clare,564.32,54.80
26037,Michigan,Clinton,566.41,133.09
26039,Michigan,Crawford,556.28,25.30
26041,Michigan,Delta,1171.10,31.65
26043,Michigan,Dickinson,761.40,34.37
26045,Michigan,Eaton,575.17,187.35
26047,Michigan,Emmet,467.49,69.93
26049,Michigan,Genesee,636.98,668.45
26051,Michigan,Gladwin,501.78,51.20
26053,Michigan,Gogebic,1101.85,14.91
26055,Michigan,Grand Traverse,464.33,187.34
26057,Michigan,Gratiot,568.46,74.72
26059,Michigan,Hillsdale,598.13,78.06
26061,Michigan,Houghton,1009.10,36.30
26063,Michigan,Huron,835.71,39.63
26065,Michigan,Ingham,556.12,505.10
26067,Michigan,Ionia,571.30,111.86
26069,Michigan,Iosco,549.10,47.14
26071,Michigan,Iron,1166.15,10.13
26073,Michigan,Isabella,572.68,122.78
26075,Michigan,Jackson,701.67,228.38
26077,Michigan,Kalamazoo,561.66,445.70
26079,Michigan,Kalkaska,559.86,30.64
26081,Michigan,Kent,846.95,711.52
26083,Michigan,Keweenaw,540.11,3.99
26085,Michigan,Lake,567.37,20.34
26087,Michigan,Lapeer,643.01,137.35
26089,Michigan,Leelanau,347.17,62.53
26091,Michigan,Lenawee,749.55,133.27
26093,Michigan,Livingston,565.25,320.15
26095,Michigan,Luce,899.08,7.38
26097,Michigan,Mackinac,1021.57,10.88
26099,Michigan,Macomb,479.22,1754.88
26101,Michigan,Manistee,542.15,45.62
26103,Michigan,Marquette,1808.40,37.09
26105,Michigan,Mason,495.07,57.98
26107,Michigan,Mecosta,555.07,77.10
26109,Michigan,Menominee,1044.08,23.01
26111,Michigan,Midland,516.25,161.99
26113,Michigan,Missaukee,564.73,26.29
26115,Michigan,Monroe,549.39,276.71
26117,Michigan,Montcalm,705.40,89.80
26119,Michigan,Montmorency,546.66,17.86
